x1,x2,x3,x4,x5,x6,x7,y
0.98,514.5,294,110.25,7,2,0,21.33
0.98,514.5,294,110.25,7,3,0,21.33
0.98,514.5,294,110.25,7,4,0,21.33
0.98,514.5,294,110.25,7,5,0,21.33
0.9,563.5,318.5,122.5,7,2,0,28.28
0.9,563.5,318.5,122.5,7,3,0,25.38
0.9,563.5,318.5,122.5,7,4,0,25.16
0.9,563.5,318.5,122.5,7,5,0,29.6
0.86,588,294,147,7,2,0,27.3
0.86,588,294,147,7,3,0,21.97
0.86,588,294,147,7,4,0,23.49
0.86,588,294,147,7,5,0,27.87
0.82,612.5,318.5,147,7,2,0,23.77
0.82,612.5,318.5,147,7,3,0,21.46
0.82,612.5,318.5,147,7,4,0,21.16
0.82,612.5,318.5,147,7,5,0,24.93
0.79,637,343,147,7,2,0,37.73
0.79,637,343,147,7,3,0,31.27
0.79,637,343,147,7,4,0,30.93
0.79,637,343,147,7,5,0,39.44
0.76,661.5,416.5,122.5,7,2,0,29.79
0.76,661.5,416.5,122.5,7,3,0,29.68
0.76,661.5,416.5,122.5,7,4,0,29.79
0.76,661.5,416.5,122.5,7,5,0,29.4
0.74,686,245,220.5,3.5,2,0,10.9
0.74,686,245,220.5,3.5,3,0,11.19
0.74,686,245,220.5,3.5,4,0,10.94
0.74,686,245,220.5,3.5,5,0,11.17
0.71,710.5,269.5,220.5,3.5,2,0,11.27
0.71,710.5,269.5,220.5,3.5,3,0,11.72
0.71,710.5,269.5,220.5,3.5,4,0,11.29
0.71,710.5,269.5,220.5,3.5,5,0,11.67
0.69,735,294,220.5,3.5,2,0,11.74
0.69,735,294,220.5,3.5,3,0,12.05
0.69,735,294,220.5,3.5,4,0,11.73
0.69,735,294,220.5,3.5,5,0,11.93
0.66,759.5,318.5,220.5,3.5,2,0,12.4
0.66,759.5,318.5,220.5,3.5,3,0,12.23
0.66,759.5,318.5,220.5,3.5,4,0,12.4
0.66,759.5,318.5,220.5,3.5,5,0,12.14
0.64,784,343,220.5,3.5,2,0,16.78
0.64,784,343,220.5,3.5,3,0,16.8
0.64,784,343,220.5,3.5,4,0,16.75
0.64,784,343,220.5,3.5,5,0,16.67
0.62,808.5,367.5,220.5,3.5,2,0,12.07
0.62,808.5,367.5,220.5,3.5,3,0,12.22
0.62,808.5,367.5,220.5,3.5,4,0,12.08
0.62,808.5,367.5,220.5,3.5,5,0,12.04
0.98,514.5,294,110.25,7,2,0.1,26.47
0.98,514.5,294,110.25,7,3,0.1,26.37
0.98,514.5,294,110.25,7,4,0.1,26.44
0.98,514.5,294,110.25,7,5,0.1,26.29
0.9,563.5,318.5,122.5,7,2,0.1,32.92
0.9,563.5,318.5,122.5,7,3,0.1,29.87
0.9,563.5,318.5,122.5,7,4,0.1,29.58
0.9,563.5,318.5,122.5,7,5,0.1,34.33
0.86,588,294,147,7,2,0.1,30.89
0.86,588,294,147,7,3,0.1,25.6
0.86,588,294,147,7,4,0.1,27.03
0.86,588,294,147,7,5,0.1,31.73
0.82,612.5,318.5,147,7,2,0.1,27.31
0.82,612.5,318.5,147,7,3,0.1,24.91
0.82,612.5,318.5,147,7,4,0.1,24.61
0.82,612.5,318.5,147,7,5,0.1,28.51
0.79,637,343,147,7,2,0.1,41.68
0.79,637,343,147,7,3,0.1,35.28
0.79,637,343,147,7,4,0.1,34.43
0.79,637,343,147,7,5,0.1,43.33
0.76,661.5,416.5,122.5,7,2,0.1,33.87
0.76,661.5,416.5,122.5,7,3,0.1,34.07
0.76,661.5,416.5,122.5,7,4,0.1,34.14
0.76,661.5,416.5,122.5,7,5,0.1,33.67
0.74,686,245,220.5,3.5,2,0.1,13.43
0.74,686,245,220.5,3.5,3,0.1,13.71
0.74,686,245,220.5,3.5,4,0.1,13.48
0.74,686,245,220.5,3.5,5,0.1,13.7
0.71,710.5,269.5,220.5,3.5,2,0.1,13.8
0.71,710.5,269.5,220.5,3.5,3,0.1,14.28
0.71,710.5,269.5,220.5,3.5,4,0.1,13.87
0.71,710.5,269.5,220.5,3.5,5,0.1,14.27
0.69,735,294,220.5,3.5,2,0.1,14.28
0.69,735,294,220.5,3.5,3,0.1,14.61
0.69,735,294,220.5,3.5,4,0.1,14.3
0.69,735,294,220.5,3.5,5,0.1,14.45
0.66,759.5,318.5,220.5,3.5,2,0.1,13.9
0.66,759.5,318.5,220.5,3.5,3,0.1,13.72
